date,close
2018-07-02,10.13
2018-07-03,10.4
2018-07-04,10.93
2018-07-05,10.65
2018-07-06,10.35
2018-07-09,10.06
2018-07-10,9.95
2018-07-11,10.12
2018-07-12,10.04
2018-07-13,10.1
2018-07-16,10.34
2018-07-17,10.24
2018-07-18,10.12
2018-07-19,10.1
2018-07-20,10.46
2018-07-23,10.54
2018-07-24,10.31
2018-07-25,10.43
2018-07-26,10.18
2018-07-27,10.1
2018-07-30,9.755
2018-07-31,10.02
2018-08-01,10.07
2018-08-02,9.85
2018-08-03,9.85
2018-08-06,9.99
2018-08-07,10.01
2018-08-08,10.34
2018-08-09,10.33
2018-08-10,10.13
2018-08-13,9.9
2018-08-14,9.94
2018-08-16,9.755
2018-08-17,10.12
2018-08-20,9.82
2018-08-21,9.8
2018-08-22,9.58
2018-08-23,9.46
2018-08-24,9.23
2018-08-27,9.295
2018-08-28,9.31
2018-08-29,9.3
2018-08-30,9.31
2018-08-31,9.13
2018-09-03,9.095
2018-09-04,8.85
2018-09-05,8.775
2018-09-06,8.81
2018-09-07,8.8
2018-09-10,8.83
2018-09-11,8.6
2018-09-12,8.8
2018-09-13,9.05
2018-09-14,9.44
2018-09-17,9.5
2018-09-18,9.485
2018-09-19,9.495
2018-09-20,9.5
2018-09-21,9.45
2018-09-24,9.92
2018-09-25,9.74
2018-09-26,10.08
2018-09-27,9.93
2018-09-28,9.96
2018-10-01,9.785
2018-10-02,9.6
2018-10-03,9.53
2018-10-04,9.56
2018-10-05,9.43
2018-10-08,9.195
2018-10-09,9.0
2018-10-10,8.985
2018-10-11,8.815
2018-10-12,9.0
2018-10-15,8.95
2018-10-16,9.335
2018-10-17,9.275
2018-10-18,8.805
2018-10-19,8.815
2018-10-22,8.8
2018-10-23,8.9
2018-10-24,8.645
2018-10-25,8.65
2018-10-26,8.55
2018-10-29,8.2
2018-10-30,8.4
2018-10-31,8.45
2018-11-02,8.47
2018-11-05,8.47
2018-11-06,8.095
2018-11-07,7.745
2018-11-08,8.125
2018-11-09,7.95
2018-11-13,8.34
2018-11-14,8.765
2018-11-15,9.055
2018-11-16,8.565
2018-11-19,8.5
2018-11-20,8.375
2018-11-21,8.56
2018-11-22,8.695
2018-11-23,8.65
2018-11-26,8.35
2018-11-27,8.68
2018-11-28,9.05
2018-11-29,9.5
2018-11-30,9.735
2018-12-03,9.9
2018-12-04,10.04
2018-12-05,10.25
2018-12-06,9.92
2018-12-07,9.86
2018-12-10,9.815
2018-12-11,9.865
2018-12-12,9.815
2018-12-13,9.98
2018-12-14,9.86
2018-12-17,10.0
2018-12-18,10.15
2018-12-19,10.2
2018-12-20,9.76
2018-12-21,9.895
2018-12-27,9.405
2018-12-28,9.585
2019-01-02,9.73
2019-01-03,9.725
2019-01-04,9.7
2019-01-07,9.8
2019-01-08,10.1
2019-01-09,10.25
2019-01-10,10.26
2019-01-11,10.41
2019-01-14,10.41
2019-01-15,10.14
