date,close
2011-07-01,810
2011-07-04,820
2011-07-05,818
2011-07-06,818
2011-07-07,820
2011-07-08,817
2011-07-11,815
2011-07-12,810
2011-07-13,809
2011-07-14,809
2011-07-15,805
2011-07-18,800
2011-07-19,794
2011-07-20,790
2011-07-21,777
2011-07-22,784
2011-07-25,780
2011-07-26,780
2011-07-27,780
2011-07-28,777
2011-07-29,776
2011-08-01,765
2011-08-02,758
2011-08-03,750
2011-08-04,725
2011-08-05,719
2011-08-08,719
2011-08-09,707
2011-08-10,698
2011-08-11,699
2011-08-12,697
2011-08-15,700
2011-08-16,698
2011-08-17,697
2011-08-18,697
2011-08-19,697
2011-08-22,689
2011-08-23,701
2011-08-24,700
2011-08-25,699
2011-08-26,696
2011-08-29,690
2011-08-30,695
2011-08-31,694
2011-09-01,690
2011-09-02,690
2011-09-05,685
2011-09-06,685
2011-09-07,690
2011-09-08,690
2011-09-09,680
2011-09-12,670
2011-09-13,670
2011-09-14,660
2011-09-15,671
2011-09-16,675
2011-09-19,685
2011-09-20,685
2011-09-21,685
2011-09-22,675
2011-09-23,673
2011-09-26,672
2011-09-27,670
2011-09-28,672
2011-09-29,675
2011-09-30,670
2011-10-03,670
2011-10-04,670
2011-10-05,669
2011-10-06,669
2011-10-07,669
2011-10-10,669
2011-10-11,669
2011-10-12,669
2011-10-13,669
2011-10-14,668
2011-10-17,665
2011-10-18,665
2011-10-19,665
2011-10-20,667
2011-10-21,667
2011-10-24,660
2011-10-25,660
2011-10-26,655
2011-10-27,655
2011-10-28,650
2011-11-02,639
2011-11-03,630
2011-11-04,655
2011-11-07,649
2011-11-08,643
2011-11-09,630
2011-11-10,628
2011-11-11,639
2011-11-14,636
2011-11-15,636
2011-11-16,631
2011-11-17,633
2011-11-18,633
2011-11-21,635
2011-11-22,632
2011-11-23,636
2011-11-24,636
2011-11-25,632
2011-11-28,632
2011-11-29,635
2011-11-30,630
2011-12-01,629
2011-12-02,629
2011-12-05,630
2011-12-06,630
2011-12-07,630
2011-12-08,627
2011-12-09,629
2011-12-12,623
2011-12-13,625
2011-12-14,625
2011-12-15,625
2011-12-16,625
2011-12-19,620
2011-12-20,609
2011-12-21,610
2011-12-22,604
2011-12-23,610
2011-12-27,617
2011-12-28,604
2011-12-29,606
2011-12-30,610
2012-01-02,604
2012-01-03,609
2012-01-04,607
2012-01-05,605
2012-01-06,605
2012-01-09,612
2012-01-10,610
2012-01-11,614
2012-01-12,610
2012-01-13,610
2012-01-16,613
2012-01-17,615
2012-01-18,611
2012-01-19,617
2012-01-20,633
2012-01-23,634
2012-01-24,634
2012-01-25,644
2012-01-26,659
2012-01-27,664
2012-01-30,663
2012-01-31,690
2012-02-01,700
2012-02-02,696
2012-02-03,698
2012-02-06,683
2012-02-07,666
2012-02-08,670
2012-02-09,680
2012-02-10,669
2012-02-13,680
2012-02-14,678
2012-02-15,661
2012-02-16,651
2012-02-17,666
2012-02-20,665
2012-02-21,662
2012-02-22,659
2012-02-23,664
2012-02-24,662
2012-02-27,655
2012-02-28,662
2012-02-29,679
2012-03-01,661
2012-03-02,660
2012-03-05,660
2012-03-06,660
2012-03-07,651
2012-03-08,660
2012-03-09,663
2012-03-12,646
2012-03-13,640
2012-03-14,640
2012-03-19,640
2012-03-20,640
2012-03-21,640
2012-03-22,638
2012-03-23,637
2012-03-26,636
2012-03-27,625
2012-03-28,629
2012-03-29,622
2012-03-30,630
2012-04-02,630
2012-04-03,630
2012-04-04,629
2012-04-05,630
2012-04-10,639
2012-04-11,640
2012-04-12,640
2012-04-13,635
2012-04-16,636
2012-04-17,640
2012-04-18,639
2012-04-19,644
2012-04-20,629
2012-04-23,630
2012-04-24,630
2012-04-25,631
2012-04-26,630
2012-04-27,630
2012-05-02,629
2012-05-03,629
2012-05-04,626
2012-05-07,627
2012-05-08,620
2012-05-09,615
2012-05-10,614
2012-05-11,614
2012-05-14,614
2012-05-15,613
2012-05-16,604
2012-05-17,600
2012-05-18,598
2012-05-21,597
2012-05-22,591
2012-05-23,592
2012-05-24,597
2012-05-25,597
2012-05-29,605
2012-05-30,599
2012-05-31,597
2012-06-01,597
2012-06-04,598
2012-06-05,598
2012-06-06,597
2012-06-07,598
2012-06-08,596
2012-06-11,598
2012-06-12,599
2012-06-13,599
2012-06-14,598
2012-06-15,600
2012-06-18,596
2012-06-19,599
2012-06-20,599
2012-06-21,599
2012-06-22,598
2012-06-25,597
2012-06-26,597
2012-06-27,593
2012-06-28,590
2012-06-29,586
2012-07-02,590
2012-07-03,589
2012-07-04,590
2012-07-05,589
2012-07-06,589
2012-07-09,589
2012-07-10,589
2012-07-11,581
2012-07-12,582
2012-07-13,579
2012-07-16,579
2012-07-17,579
2012-07-18,579
2012-07-19,585
2012-07-20,584
2012-07-23,575
2012-07-24,579
2012-07-25,578
2012-07-26,577
2012-07-27,580
2012-07-30,586
2012-07-31,587
2012-08-01,587
2012-08-02,585
2012-08-03,588
2012-08-06,588
2012-08-07,588
2012-08-08,586
2012-08-09,590
2012-08-10,590
2012-08-13,589
2012-08-14,585
2012-08-15,586
2012-08-16,585
2012-08-17,589
2012-08-21,588
2012-08-22,588
2012-08-23,588
2012-08-24,591
2012-08-27,590
2012-08-28,600
2012-08-29,592
2012-08-30,599
2012-08-31,605
2012-09-03,599
2012-09-04,598
2012-09-05,598
2012-09-06,594
2012-09-07,593
2012-09-10,597
2012-09-11,600
2012-09-12,600
2012-09-13,597
2012-09-14,601
2012-09-17,600
2012-09-18,599
2012-09-19,590
2012-09-20,610
2012-09-21,618
2012-09-24,621
2012-09-25,623
2012-09-26,613
2012-09-27,620
2012-09-28,605
2012-10-01,596
2012-10-02,603
2012-10-03,603
2012-10-04,605
2012-10-05,605
2012-10-08,600
2012-10-09,600
2012-10-10,595
2012-10-11,597
2012-10-12,600
2012-10-15,601
2012-10-16,598
2012-10-17,604
2012-10-18,600
2012-10-19,600
2012-10-24,597
2012-10-25,598
2012-10-26,596
2012-10-29,593
2012-10-30,595
2012-10-31,601
2012-11-05,594
2012-11-06,600
2012-11-07,600
2012-11-08,603
2012-11-09,605
2012-11-12,607
2012-11-13,602
2012-11-14,593
2012-11-15,598
2012-11-16,597
2012-11-19,594
2012-11-20,599
2012-11-21,598
2012-11-22,598
2012-11-23,597
2012-11-26,598
2012-11-27,596
2012-11-28,596
2012-11-29,594
2012-11-30,595
2012-12-03,595
2012-12-04,594
2012-12-05,589
2012-12-06,589
2012-12-07,589
2012-12-10,588
2012-12-11,589
2012-12-12,584
2012-12-13,574
2012-12-14,570
2012-12-17,570
2012-12-18,568
2012-12-19,564
2012-12-20,557
2012-12-21,569
2012-12-27,574
2012-12-28,579
2013-01-02,584
2013-01-03,576
2013-01-04,581
2013-01-07,580
2013-01-08,570
2013-01-09,569
2013-01-10,569
2013-01-11,569
2013-01-14,570
2013-01-15,565
2013-01-16,565
2013-01-17,561
2013-01-18,560
2013-01-21,564
2013-01-22,556
2013-01-23,544
2013-01-24,463
2013-01-25,394
2013-01-28,430
2013-01-29,445
2013-01-30,426
2013-01-31,425
2013-02-01,414
2013-02-04,408
2013-02-05,400
2013-02-06,379
2013-02-07,353
2013-02-08,365
2013-02-11,371
2013-02-12,351
2013-02-13,353
2013-02-14,307
2013-02-15,330
2013-02-18,330
2013-02-19,310
2013-02-20,302
2013-02-21,296
2013-02-22,290
2013-02-25,287
2013-02-26,330
2013-02-27,379
2013-02-28,393
2013-03-01,392
2013-03-04,382
2013-03-05,397
2013-03-06,388
2013-03-07,395
2013-03-08,397
2013-03-11,402
2013-03-12,398
2013-03-13,385
2013-03-14,385
2013-03-18,390
2013-03-19,385
2013-03-20,380
2013-03-21,390
2013-03-22,403
2013-03-25,400
2013-03-26,396
2013-03-27,389
2013-03-28,373
2013-04-02,400
2013-04-03,399
2013-04-04,398
2013-04-05,396
2013-04-08,395
2013-04-09,388
2013-04-10,382
2013-04-11,363
2013-04-12,376
2013-04-15,384
2013-04-16,380
2013-04-17,377
2013-04-18,375
2013-04-19,380
2013-04-22,379
2013-04-23,376
2013-04-24,367
2013-04-25,372
2013-04-26,365
2013-04-29,363
2013-04-30,373
2013-05-02,363
2013-05-03,363
2013-05-06,364
2013-05-07,365
2013-05-08,364
2013-05-09,350
2013-05-10,342
2013-05-13,330
2013-05-14,329
2013-05-15,340
2013-05-16,340
2013-05-17,342
2013-05-21,336
2013-05-22,336
2013-05-23,335
2013-05-24,327
2013-05-27,330
2013-05-28,327
2013-05-29,318
2013-05-30,316
2013-05-31,317
2013-06-03,320
2013-06-04,317
2013-06-05,306
2013-06-06,301
2013-06-07,302
2013-06-10,305
2013-06-11,300
2013-06-12,317
2013-06-13,316
2013-06-14,307
2013-06-17,310
2013-06-18,310
2013-06-19,305
2013-06-20,305
2013-06-21,303
2013-06-24,297
2013-06-25,301
2013-06-26,300
2013-06-27,304
2013-06-28,310
2013-07-01,308
2013-07-02,305
2013-07-03,303
2013-07-04,300
2013-07-05,300
2013-07-08,312
2013-07-09,308
2013-07-10,318
2013-07-11,315
2013-07-12,313
2013-07-15,317
2013-07-16,314
2013-07-17,313
2013-07-18,312
2013-07-19,311
2013-07-22,303
2013-07-23,301
2013-07-24,304
2013-07-25,302
2013-07-26,301
2013-07-29,302
2013-07-30,304
2013-07-31,301
2013-08-01,301
2013-08-02,305
2013-08-05,305
2013-08-06,305
2013-08-07,302
2013-08-08,305
2013-08-09,304
2013-08-12,304
2013-08-13,304
2013-08-14,300
2013-08-15,302
2013-08-16,305
2013-08-21,301
2013-08-22,303
2013-08-23,308
2013-08-26,305
2013-08-27,303
2013-08-28,301
2013-08-29,300
2013-08-30,298
2013-09-02,294
2013-09-03,300
2013-09-04,299
2013-09-05,296
2013-09-06,295
2013-09-09,299
2013-09-10,295
2013-09-11,295
2013-09-12,299
2013-09-13,297
2013-09-16,300
2013-09-17,300
2013-09-18,295
2013-09-19,292
2013-09-20,297
2013-09-23,298
2013-09-24,298
2013-09-25,299
2013-09-26,297
2013-09-27,295
2013-09-30,291
2013-10-01,291
2013-10-02,296
2013-10-03,295
2013-10-04,295
2013-10-07,296
2013-10-08,294
2013-10-09,291
2013-10-10,290
2013-10-11,292
2013-10-14,295
2013-10-15,293
2013-10-16,289
2013-10-17,290
2013-10-18,289
2013-10-21,282
2013-10-22,292
2013-10-24,290
2013-10-25,289
2013-10-28,295
2013-10-29,292
2013-10-30,295
2013-10-31,296
2013-11-04,291
2013-11-05,296
2013-11-06,295
2013-11-07,295
2013-11-08,296
2013-11-11,306
2013-11-12,302
2013-11-13,298
2013-11-14,300
2013-11-15,300
2013-11-18,300
2013-11-19,300
2013-11-20,295
2013-11-21,299
2013-11-22,300
2013-11-25,299
2013-11-26,283
2013-11-27,293
2013-11-28,293
2013-11-29,287
2013-12-02,289
2013-12-03,284
2013-12-04,284
2013-12-05,284
2013-12-06,285
2013-12-09,284
2013-12-10,281
2013-12-11,287
2013-12-12,284
2013-12-13,285
2013-12-16,289
2013-12-17,287
2013-12-18,288
2013-12-19,290
2013-12-20,300
2013-12-23,314
2013-12-30,344
2014-01-02,386
2014-01-03,391
2014-01-06,378
2014-01-07,365
2014-01-08,343
2014-01-09,340
2014-01-10,365
2014-01-13,361
2014-01-14,365
2014-01-15,360
2014-01-16,375
2014-01-17,369
2014-01-20,367
2014-01-21,364
2014-01-22,368
2014-01-23,364
2014-01-24,361
2014-01-27,356
2014-01-28,356
2014-01-29,346
2014-01-30,345
2014-01-31,336
2014-02-03,337
2014-02-04,345
2014-02-05,340
2014-02-06,336
2014-02-07,340
2014-02-10,338
2014-02-11,353
2014-02-12,351
2014-02-13,363
2014-02-14,386
2014-02-17,372
2014-02-18,381
2014-02-19,377
2014-02-20,340
2014-02-21,329
2014-02-24,342
2014-02-25,335
2014-02-26,326
2014-02-27,326
2014-02-28,330
2014-03-03,330
2014-03-04,335
2014-03-05,332
2014-03-06,359
2014-03-07,352
2014-03-10,353
2014-03-11,349
2014-03-12,336
2014-03-13,326
2014-03-14,334
2014-03-17,345
2014-03-18,350
2014-03-19,348
2014-03-20,354
2014-03-21,357
2014-03-24,347
2014-03-25,343
2014-03-26,340
2014-03-27,347
2014-03-28,340
2014-03-31,340
2014-04-01,350
2014-04-02,345
2014-04-03,340
2014-04-04,341
2014-04-07,339
2014-04-08,338
2014-04-09,337
2014-04-10,339
2014-04-11,337
2014-04-14,340
2014-04-15,334
2014-04-16,335
2014-04-17,339
2014-04-22,336
2014-04-23,337
2014-04-24,331
2014-04-25,324
2014-04-28,329
2014-04-29,320
2014-04-30,318
2014-05-05,318
2014-05-06,318
2014-05-07,317
2014-05-08,317
2014-05-09,315
2014-05-12,311
2014-05-13,314
2014-05-14,309
2014-05-15,320
2014-05-16,318
2014-05-19,331
2014-05-20,330
2014-05-21,328
2014-05-22,332
2014-05-23,331
2014-05-26,339
2014-05-27,340
2014-05-28,341
2014-05-29,341
2014-05-30,338
2014-06-02,338
2014-06-03,338
2014-06-04,338
2014-06-05,341
2014-06-06,345
2014-06-10,340
2014-06-11,338
2014-06-12,335
2014-06-13,335
2014-06-16,332
2014-06-17,333
2014-06-18,330
2014-06-19,335
2014-06-20,332
2014-06-23,330
2014-06-24,327
2014-06-25,323
2014-06-26,322
2014-06-27,324
2014-06-30,324
2014-07-01,322
2014-07-02,324
2014-07-03,310
2014-07-04,317
2014-07-07,323
2014-07-08,320
2014-07-09,318
2014-07-10,313
2014-07-11,323
2014-07-14,325
2014-07-15,327
2014-07-16,324
2014-07-17,324
2014-07-18,322
2014-07-21,318
2014-07-22,318
2014-07-23,319
2014-07-24,315
2014-07-25,311
2014-07-28,313
2014-07-29,318
2014-07-30,311
2014-07-31,310
2014-08-01,313
2014-08-04,304
2014-08-05,307
2014-08-06,307
2014-08-07,307
2014-08-08,305
2014-08-11,314
2014-08-12,317
2014-08-13,314
2014-08-14,319
2014-08-15,318
2014-08-18,320
2014-08-19,320
2014-08-21,321
2014-08-22,319
2014-08-25,321
2014-08-26,317
2014-08-27,319
2014-08-28,311
2014-08-29,314
2014-09-01,318
2014-09-02,318
2014-09-03,319
2014-09-04,319
2014-09-05,319
2014-09-08,318
