date,close
2018-07-10,0.31
2018-07-12,0.27
2018-07-13,0.28
2018-07-17,0.31
2018-07-26,0.31
2018-12-17,0.23
2018-12-18,0.24
2018-12-21,0.24
2019-01-02,0.26
2019-01-11,0.26
2019-01-22,0.29
2019-01-29,0.29
2019-02-07,0.28
2019-02-08,0.24
2019-02-11,0.2
2019-02-12,0.18
2019-02-13,0.19
2019-02-15,0.22
2019-02-18,0.25
2019-02-28,0.22
2019-03-01,0.24
2019-03-04,0.25
2019-03-18,0.23
2019-03-22,0.25
2019-03-25,0.28
2019-03-26,0.29
2019-03-27,0.33
2019-03-28,0.31
2019-04-01,0.29
2019-04-02,0.31
2019-04-04,0.3
2019-04-05,0.29
2019-04-10,0.29
2019-04-11,0.28
2019-04-12,0.27
2019-04-15,0.3
2019-04-16,0.29
2019-04-17,0.29
2019-04-18,0.29
2019-04-23,0.3
2019-04-25,0.3
2019-04-26,0.3
2019-04-29,0.3
2019-04-30,0.31
2019-05-06,0.3
2019-05-07,0.3
2019-05-10,0.3
2019-05-13,0.3
2019-05-14,0.3
2019-05-15,0.29
2019-05-17,0.28
2019-05-20,0.28
2019-05-22,0.29
2019-05-23,0.29
2019-05-24,0.29
2019-05-28,0.29
2019-05-29,0.29
2019-06-11,0.29
2019-06-14,0.3
2019-06-17,0.29
2019-06-21,0.29
2019-06-25,0.27
2019-07-11,0.26
2019-07-15,0.29
2019-07-19,0.27
2019-07-26,0.254
2019-07-31,0.254
2019-08-01,0.26
2019-08-06,0.27
2019-08-07,0.268
2019-08-08,0.27
2019-08-26,0.26
2019-08-27,0.268
2019-08-28,0.268
2019-09-03,0.268
2019-09-10,0.27
2019-09-16,0.268
2019-09-19,0.268
2019-10-01,0.268
2019-10-10,0.268
2019-10-11,0.268
2019-10-17,0.268
2019-11-04,0.268
2019-11-05,0.27
2019-11-06,0.28
2019-11-15,0.28
2019-11-25,0.278
2019-11-26,0.278
2019-11-27,0.286
2019-11-28,0.286
2019-12-04,0.286
2019-12-10,0.286
2019-12-27,0.286
2020-01-03,0.284
2020-01-10,0.278
2020-01-13,0.284
2020-01-15,0.278
2020-01-17,0.286
2020-01-20,0.284
2020-01-21,0.292
2020-01-24,0.3
2020-01-28,0.294
2020-01-31,0.29
2020-02-03,0.29
2020-02-04,0.29
2020-02-06,0.29
2020-02-07,0.31
2020-02-10,0.314
2020-02-11,0.308
2020-02-12,0.312
2020-02-13,0.31
2020-02-14,0.304
2020-02-17,0.304
2020-02-18,0.31
2020-02-19,0.306
2020-02-20,0.306
2020-02-25,0.304
2020-02-26,0.29
2020-02-27,0.268
2020-02-28,0.266
2020-03-02,0.29
2020-03-04,0.3
2020-03-05,0.298
2020-03-09,0.28
2020-03-11,0.278
2020-03-12,0.266
2020-03-13,0.304
2020-03-16,0.314
2020-03-17,0.328
2020-03-18,0.336
2020-03-19,0.32
2020-03-20,0.336
2020-03-23,0.4
2020-03-24,0.74
2020-03-25,0.7
2020-03-26,0.745
2020-03-27,0.62
2020-03-30,0.48
2020-03-31,0.555
2020-04-01,0.575
2020-04-02,0.49
2020-04-03,0.56
2020-04-06,0.54
2020-04-07,0.52
2020-04-08,0.54
2020-04-09,0.505
2020-04-14,0.695
2020-04-15,0.615
2020-04-16,0.615
2020-04-17,0.64
2020-04-20,0.71
2020-04-21,0.645
2020-04-22,0.64
2020-04-23,0.63
2020-04-24,0.6
2020-04-27,0.58
2020-04-28,0.635
2020-04-29,0.65
2020-04-30,0.64
2020-05-04,0.685
2020-05-05,0.71
2020-05-06,0.715
2020-05-07,0.705
2020-05-08,0.68
2020-05-11,1.03
2020-05-12,1.01
2020-05-13,0.915
2020-05-14,0.92
2020-05-15,0.87
2020-05-18,0.94
2020-05-19,0.98
2020-05-20,1.29
2020-05-21,1.19
2020-05-22,1.16
2020-05-25,1.19
2020-05-26,1.26
2020-05-27,1.27
2020-05-28,1.27
2020-05-29,1.29
2020-06-01,1.29
2020-06-02,1.29
2020-06-03,1.25
2020-06-04,1.22
2020-06-05,1.21
2020-06-08,1.16
2020-06-09,1.21
2020-06-10,1.17
2020-06-12,1.16
2020-06-15,1.1
2020-06-16,1.14
2020-06-17,1.12
2020-06-18,1.08
2020-06-19,1.15
2020-06-22,1.21
2020-06-23,1.2
2020-06-24,1.19
2020-06-25,1.17
2020-06-26,1.18
2020-06-29,1.18
2020-06-30,1.17
2020-07-01,1.13
2020-07-02,1.17
2020-07-03,1.14
2020-07-06,1.16
2020-07-07,1.14
2020-07-08,1.23
2020-07-09,1.22
2020-07-10,1.2
2020-07-13,1.17
2020-07-14,1.16
2020-07-15,1.13
2020-07-16,1.13
2020-07-17,1.18
2020-07-20,1.36
2020-07-21,1.38
2020-07-22,1.3
2020-07-23,1.34
2020-07-24,1.24
2020-07-27,1.61
2020-07-28,1.66
2020-07-29,1.58
2020-07-30,1.3
2020-07-31,1.47
2020-08-03,1.54
2020-08-04,1.5
2020-08-05,1.48
2020-08-06,1.68
2020-08-07,1.59
2020-08-10,1.55
2020-08-11,1.53
2020-08-12,1.76
2020-08-13,1.44
2020-08-14,1.41
2020-08-17,1.45
2020-08-18,1.36
2020-08-19,1.31
2020-08-20,1.3
2020-08-21,1.29
2020-08-24,1.31
2020-08-25,1.33
2020-08-26,1.31
2020-08-27,1.3
2020-08-28,1.28
2020-08-31,1.28
2020-09-01,1.23
2020-09-02,1.23
2020-09-03,1.15
2020-09-04,1.15
2020-09-07,0.975
2020-09-08,0.89
2020-09-09,0.99
2020-09-10,0.95
2020-09-11,1.04
2020-09-14,1.03
2020-09-15,1.1
2020-09-16,1.11
2020-09-17,1.08
2020-09-18,1.07
2020-09-21,1.0
2020-09-22,0.99
2020-09-23,0.95
2020-09-24,0.98
2020-09-25,0.95
2020-09-28,0.94
2020-09-29,0.96
2020-09-30,0.915
2020-10-01,1.07
2020-10-02,1.12
2020-10-05,1.07
2020-10-06,1.06
2020-10-07,1.05
2020-10-08,1.1
2020-10-09,1.04
2020-10-12,1.02
2020-10-13,1.03
2020-10-14,0.995
2020-10-15,0.95
2020-10-16,0.96
2020-10-19,1.05
2020-10-20,1.04
2020-10-21,1.04
2020-10-22,1.04
2020-10-23,1.02
2020-10-26,1.02
2020-10-27,0.965
2020-10-28,0.97
2020-10-29,0.9
2020-10-30,0.9
2020-11-02,0.95
2020-11-03,0.925
2020-11-04,0.975
2020-11-05,1.0
2020-11-06,1.02
2020-11-09,1.0
2020-11-10,1.0
2020-11-12,1.09
2020-11-13,1.09
2020-11-16,0.85
2020-11-17,0.86
2020-11-18,0.875
2020-11-19,0.845
2020-11-20,0.865
2020-11-23,0.825
2020-11-24,0.84
2020-11-25,0.81
2020-11-26,0.83
2020-11-27,0.805
2020-11-30,0.8
2020-12-01,0.76
2020-12-02,0.79
2020-12-03,0.76
2020-12-04,0.77
2020-12-07,0.74
2020-12-08,0.76
2020-12-09,0.76
2020-12-10,0.8
2020-12-11,0.78
2020-12-14,0.76
2020-12-15,0.77
2020-12-16,0.77
2020-12-17,0.745
2020-12-18,0.74
2020-12-21,0.71
2020-12-22,0.655
2020-12-23,0.65
2020-12-28,0.69
2020-12-29,0.735
2020-12-30,0.73
2021-01-04,0.76
2021-01-05,0.79
2021-01-07,0.805
2021-01-08,0.805
2021-01-11,0.75
2021-01-12,0.745
2021-01-13,0.74
2021-01-14,0.75
2021-01-15,0.73
2021-01-18,0.76
2021-01-19,0.775
2021-01-20,0.76
2021-01-21,0.735
2021-01-22,0.755
2021-01-25,0.78
2021-01-26,0.99
2021-01-27,0.95
2021-01-28,0.9
2021-01-29,0.91
2021-02-01,0.94
2021-02-02,0.97
2021-02-03,1.02
2021-02-04,1.01
2021-02-05,0.96
2021-02-08,0.99
2021-02-09,0.97
2021-02-10,0.96
2021-02-11,0.98
2021-02-12,0.97
2021-02-15,0.97
2021-02-16,1.01
2021-02-17,0.97
2021-02-18,0.98
2021-02-19,0.96
2021-02-22,0.94
2021-02-23,0.91
2021-02-24,0.885
2021-02-25,0.935
2021-02-26,0.89
2021-03-01,0.9
2021-03-02,0.88
2021-03-03,0.88
2021-03-04,0.89
2021-03-05,0.89
2021-03-08,0.895
2021-03-09,0.885
2021-03-10,0.9
2021-03-11,0.92
2021-03-12,0.87
2021-03-15,0.855
2021-03-16,0.86
2021-03-17,0.855
2021-03-18,0.855
2021-03-19,0.84
2021-03-22,0.795
2021-03-23,0.78
2021-03-24,0.77
2021-03-25,0.755
2021-03-26,0.735
2021-03-29,0.76
2021-03-30,0.78
2021-03-31,0.775
2021-04-01,0.825
2021-04-06,0.825
2021-04-07,0.81
2021-04-08,0.81
2021-04-09,0.81
2021-04-12,0.775
2021-04-13,0.766
2021-04-15,0.779
2021-04-16,0.76
2021-04-19,0.75
2021-04-20,0.756
2021-04-21,0.708
2021-04-22,0.7
2021-04-23,0.713
2021-04-26,0.69
2021-04-27,0.71
2021-04-28,0.708
2021-04-29,0.675
2021-04-30,0.71
2021-05-04,0.71
2021-05-05,0.7
2021-05-06,0.69
2021-05-07,0.69
2021-05-10,0.7
2021-05-11,0.7
2021-05-12,0.7
2021-05-13,0.635
2021-05-14,0.638
2021-05-17,0.615
2021-05-18,0.596
2021-05-19,0.59
2021-05-20,0.585
2021-05-21,0.594
2021-05-24,0.594
2021-05-25,0.594
2021-05-26,0.57
2021-05-27,0.6
2021-05-28,0.574
2021-05-31,0.599
2021-06-01,0.59
2021-06-02,0.59
2021-06-04,0.58
2021-06-08,0.592
2021-06-09,0.59
2021-06-10,0.59
2021-06-11,0.599
2021-06-14,0.599
2021-06-15,0.599
2021-06-16,0.585
2021-06-17,0.585
2021-06-18,0.585
2021-06-21,0.582
2021-06-22,0.568
2021-06-23,0.556
2021-06-24,0.564
2021-06-25,0.562
2021-06-28,0.572
2021-06-29,0.58
2021-06-30,0.58
2021-07-01,0.574
2021-07-05,0.567
2021-07-06,0.582
2021-07-07,0.578
2021-07-08,0.56
2021-07-09,0.57
2021-07-12,0.544
2021-07-13,0.568
2021-07-14,0.55
2021-07-15,0.55
2021-07-16,0.568
2021-07-19,0.54
2021-07-20,0.549
2021-07-22,0.558
2021-07-23,0.54
2021-07-26,0.54
2021-07-27,0.531
2021-07-28,0.518
2021-07-29,0.55
2021-07-30,0.53
2021-08-02,0.548
2021-08-03,0.53
2021-08-04,0.532
2021-08-05,0.544
2021-08-06,0.539
2021-08-09,0.54
2021-08-10,0.522
2021-08-11,0.53
2021-08-12,0.58
2021-08-13,0.629
2021-08-16,0.608
2021-08-17,0.6
2021-08-18,0.6
2021-08-19,0.598
2021-08-20,0.534
2021-08-23,0.59
2021-08-24,0.574
2021-08-25,0.571
2021-08-26,0.544
2021-08-27,0.586
2021-08-30,0.576
2021-08-31,0.588
2021-09-01,0.587
2021-09-02,0.586
2021-09-03,0.555
2021-09-06,0.581
2021-09-07,0.556
2021-09-08,0.555
2021-09-09,0.57
2021-09-10,0.575
2021-09-13,0.595
2021-09-14,0.661
2021-09-15,0.67
2021-09-16,0.718
2021-09-17,0.748
2021-09-20,0.671
2021-09-21,0.737
2021-09-22,0.7
2021-09-23,0.698
2021-09-24,0.699
2021-09-28,0.695
2021-09-29,0.613
2021-09-30,0.62
2021-10-01,0.62
2021-10-05,0.65
2021-10-06,0.675
2021-10-07,0.67
2021-10-08,0.64
2021-10-11,0.63
2021-10-12,0.62
2021-10-13,0.63
2021-10-14,0.59
2021-10-15,0.59
2021-10-18,0.6
2021-10-19,0.6
2021-10-20,0.597
2021-10-21,0.595
2021-10-22,0.552
2021-10-25,0.59
2021-10-26,0.59
2021-10-27,0.544
2021-10-28,0.588
2021-10-29,0.548
2021-11-02,0.578
2021-11-03,0.578
2021-11-04,0.578
2021-11-05,0.581
2021-11-09,0.555
2021-11-10,0.555
2021-11-12,0.588
2021-11-15,0.533
2021-11-16,0.528
2021-11-17,0.57
2021-11-18,0.538
2021-11-19,0.53
2021-11-22,0.52
2021-11-23,0.528
2021-11-24,0.52
2021-11-25,0.485
2021-11-26,0.48
2021-11-29,0.48
2021-11-30,0.48
2021-12-01,0.49
2021-12-02,0.47
2021-12-03,0.486
2021-12-06,0.495
2021-12-07,0.51
2021-12-08,0.509
2021-12-09,0.539
2021-12-10,0.517
2021-12-13,0.52
2021-12-14,0.509
2021-12-15,0.5
2021-12-16,0.5
2021-12-17,0.5
2021-12-20,0.46
2021-12-21,0.5
2021-12-22,0.499
2021-12-23,0.466
2021-12-27,0.4605
2021-12-28,0.44
2021-12-29,0.4635
2021-12-30,0.5
2022-01-03,0.539
2022-01-04,0.539
2022-01-05,0.536
2022-01-07,0.536
2022-01-10,0.536
2022-01-11,0.52
2022-01-12,0.54
2022-01-13,0.54
2022-01-17,0.539
2022-01-18,0.539
2022-01-20,0.539
2022-01-21,0.538
2022-01-24,0.495
2022-01-25,0.537
2022-01-27,0.518
2022-01-28,0.46
2022-01-31,0.48
2022-02-02,0.48
2022-02-04,0.48
2022-02-07,0.478
2022-02-08,0.478
2022-02-09,0.478
2022-02-10,0.472
2022-02-11,0.476
2022-02-14,0.476
2022-02-16,0.473
2022-02-17,0.469
2022-02-18,0.473
2022-02-21,0.476
2022-02-22,0.42
2022-02-23,0.42
2022-02-24,0.38
2022-02-25,0.429
2022-02-28,0.427
2022-03-02,0.375
2022-03-03,0.369
2022-03-04,0.345
2022-03-07,0.338
2022-03-08,0.3595
2022-03-09,0.34
2022-03-10,0.364
2022-03-11,0.427
2022-03-14,0.424
2022-03-15,0.424
2022-03-16,0.4
2022-03-17,0.4
2022-03-18,0.41
2022-03-21,0.354
2022-03-22,0.38
2022-03-23,0.38
2022-03-24,0.38
2022-03-25,0.37
2022-03-28,0.388
2022-03-29,0.388
2022-03-30,0.367
2022-03-31,0.367
2022-04-01,0.359
2022-04-04,0.36
2022-04-05,0.362
2022-04-06,0.37
2022-04-07,0.39
2022-04-08,0.359
2022-04-11,0.369
2022-04-12,0.369
2022-04-13,0.365
2022-04-14,0.351
2022-04-19,0.352
2022-04-20,0.367
2022-04-21,0.363
2022-04-22,0.36
2022-04-25,0.359
2022-04-26,0.342
2022-04-27,0.344
2022-04-29,0.344
2022-05-02,0.369
2022-05-04,0.369
2022-05-05,0.369
2022-05-06,0.367
2022-05-09,0.367
2022-05-13,0.35
2022-05-20,0.349
2022-05-26,0.35
2022-06-01,0.367
2022-06-03,0.35
2022-06-07,0.301
2022-06-08,0.342
2022-06-10,0.331
2022-06-13,0.319
2022-06-14,0.3
2022-06-15,0.292
2022-06-20,0.32
2022-06-22,0.31
2022-06-28,0.315
2022-06-29,0.315
2022-07-01,0.315
2022-07-06,0.315
2022-07-07,0.315
2022-07-11,0.315
2022-07-13,0.295
2022-07-14,0.315
2022-07-18,0.315
2022-07-19,0.315
2022-07-20,0.316
2022-07-28,0.31
2022-07-29,0.31
2022-08-01,0.347
2022-08-02,0.346
2022-08-03,0.339
2022-08-04,0.339
2022-08-11,0.339
2022-08-12,0.347
2022-08-16,0.347
2022-08-18,0.6
2022-08-19,0.606
2022-08-22,0.698
2022-08-23,0.672
2022-08-24,0.508
2022-08-25,0.483
2022-08-26,0.48
2022-08-29,0.475
2022-08-30,0.502
2022-08-31,0.49
2022-09-01,0.468
2022-09-02,0.495
2022-09-05,0.489
2022-09-06,0.477
2022-09-07,0.476
2022-09-08,0.487
2022-09-09,0.489
2022-09-12,0.528
2022-09-13,0.476
2022-09-14,0.466
2022-09-15,0.46
2022-09-16,0.486
2022-09-19,0.468
2022-09-20,0.458
2022-09-21,0.488
2022-09-22,0.44
2022-09-23,0.437
2022-09-26,0.435
2022-09-28,0.439
2022-09-29,0.425
2022-09-30,0.431
2022-10-03,0.423
2022-10-04,0.41
2022-10-05,0.408
2022-10-07,0.409
2022-10-10,0.417
2022-10-11,0.428
2022-10-12,0.464
2022-10-13,0.459
2022-10-14,0.462
2022-10-17,0.462
2022-10-18,0.441
2022-10-19,0.44
2022-10-20,0.419
2022-10-21,0.42
2022-10-24,0.42
2022-10-25,0.432
2022-10-26,0.443
2022-10-27,0.422
2022-10-28,0.445
2022-10-31,0.438
2022-11-02,0.411
2022-11-03,0.434
2022-11-04,0.434
2022-11-07,0.412
2022-11-08,0.454
2022-11-09,0.449
2022-11-10,0.45
2022-11-14,0.429
2022-11-15,0.4
2022-11-16,0.4
2022-11-17,0.418
2022-11-18,0.4
2022-11-21,0.41
2022-11-22,0.418
2022-11-23,0.415
2022-11-24,0.418
2022-11-25,0.418
2022-11-28,0.418
2022-11-29,0.418
2022-11-30,0.414
2022-12-01,0.414
2022-12-02,0.414
2022-12-05,0.414
2022-12-06,0.414
2022-12-07,0.414
2022-12-09,0.4
2022-12-12,0.41
2022-12-13,0.414
2022-12-14,0.449
2022-12-15,0.444
2022-12-16,0.468
2022-12-19,0.468
2022-12-20,0.47
2022-12-21,0.479
2022-12-22,0.48
2022-12-23,0.49
2022-12-27,0.498
2022-12-28,0.5
2022-12-29,0.508
2022-12-30,0.508
2023-01-02,0.548
2023-01-03,0.53
2023-01-04,0.53
2023-01-05,0.53
2023-01-09,0.526
2023-01-10,0.53
2023-01-11,0.554
2023-01-12,0.56
2023-01-13,0.57
2023-01-16,0.56
2023-01-18,0.522
2023-01-19,0.522
2023-01-23,0.48
2023-01-24,0.499
2023-01-25,0.499
2023-01-26,0.498
2023-01-27,0.48
2023-01-30,0.476
2023-01-31,0.478
2023-02-01,0.473
2023-02-02,0.473
2023-02-03,0.473
2023-02-06,0.47
2023-02-07,0.476
2023-02-08,0.466
2023-02-09,0.466
2023-02-10,0.415
2023-02-13,0.438
2023-02-14,0.44
2023-02-15,0.468
2023-02-16,0.469
2023-02-17,0.47
2023-02-20,0.47
2023-02-21,0.448
2023-02-22,0.446
2023-02-23,0.444
2023-02-24,0.469
2023-02-27,0.464
2023-02-28,0.463
2023-03-01,0.465
2023-03-02,0.459
2023-03-03,0.46
2023-03-06,0.46
2023-03-07,0.459
2023-03-08,0.467
2023-03-09,0.467
2023-03-10,0.467
2023-03-13,0.45
2023-03-14,0.45
2023-03-15,0.42
2023-03-16,0.438
2023-03-17,0.446
2023-03-20,0.399
2023-03-21,0.427
2023-03-22,0.427
2023-03-23,0.425
2023-03-24,0.429
2023-03-28,0.414
2023-03-29,0.421
2023-03-30,0.423
2023-03-31,0.425
2023-04-03,0.399
2023-04-04,0.422
2023-04-11,0.42
2023-04-14,0.387
2023-04-17,0.419
2023-04-18,0.41
2023-04-19,0.419
2023-04-20,0.418
2023-04-21,0.419
2023-04-24,0.419
2023-04-25,0.419
2023-04-26,0.419
2023-04-27,0.418
2023-05-05,0.468
2023-05-08,0.46
2023-05-09,0.466
2023-05-10,0.44
2023-05-11,0.46
2023-05-12,0.46
2023-05-15,0.445
2023-05-16,0.47
2023-05-17,0.47
2023-05-18,0.46
2023-05-19,0.462
2023-05-22,0.47
2023-05-23,0.47
2023-05-24,0.43
2023-05-25,0.447
2023-05-26,0.449
2023-05-29,0.449
2023-05-30,0.46
2023-05-31,0.46
2023-06-01,0.468
2023-06-02,0.468
2023-06-05,0.486
2023-06-06,0.52
2023-06-07,0.526
2023-06-09,0.528
2023-06-12,0.489
2023-06-13,0.51
2023-06-14,0.5
2023-06-15,0.51
2023-06-16,0.51
2023-06-19,0.526
2023-06-20,0.52
2023-06-21,0.5
2023-06-22,0.5
2023-06-23,0.45
2023-06-26,0.496
2023-06-27,0.45
2023-06-28,0.458
2023-06-29,0.458
2023-07-03,0.455
2023-07-05,0.456
2023-07-06,0.455
2023-07-07,0.45
2023-07-10,0.45
2023-07-12,0.458
2023-07-13,0.486
2023-07-14,0.486
2023-07-18,0.47
2023-07-19,0.544
2023-07-20,0.556
2023-07-21,0.532
2023-07-24,0.55
2023-07-25,0.58
2023-07-26,0.56
2023-07-27,0.578
2023-07-28,0.542
2023-07-31,0.56
2023-08-01,0.56
2023-08-02,0.56
2023-08-03,0.56
2023-08-04,0.56
2023-08-07,0.52
2023-08-08,0.52
2023-08-09,0.52
2023-08-10,0.552
2023-08-11,0.55
2023-08-14,0.582
2023-08-16,0.594
2023-08-17,0.59
2023-08-18,0.59
2023-08-21,0.544
2023-08-22,0.55
2023-08-28,0.55
2023-08-30,0.57
2023-08-31,0.57
2023-09-01,0.568
2023-09-04,0.544
2023-09-05,0.53
2023-09-06,0.508
2023-09-08,0.51
2023-09-11,0.52
2023-09-12,0.52
2023-09-14,0.554
2023-09-15,0.548
2023-09-18,0.58
2023-09-19,0.584
2023-09-20,0.58
2023-09-21,0.578
2023-09-22,0.568
2023-09-25,0.574
2023-09-26,0.574
2023-09-27,0.53
2023-09-28,0.54
2023-09-29,0.534
2023-10-02,0.538
2023-10-03,0.54
2023-10-04,0.57
2023-10-05,0.566
2023-10-06,0.566
2023-10-09,0.56
2023-10-10,0.568
2023-10-11,0.538
2023-10-12,0.538
2023-10-13,0.538
2023-10-16,0.52
2023-10-17,0.54
2023-10-18,0.54
2023-10-19,0.54
2023-10-20,0.54
2023-10-23,0.538
2023-10-24,0.54
2023-10-25,0.54
2023-10-26,0.504
2023-10-27,0.54
2023-10-30,0.518
2023-10-31,0.52
2023-11-02,0.52
2023-11-03,0.556
2023-11-07,0.556
2023-11-10,0.56
2023-11-13,0.61
2023-11-14,0.59
2023-11-15,0.58
2023-11-16,0.57
2023-11-17,0.58
2023-11-20,0.578
2023-11-21,0.57
2023-11-22,0.57
2023-11-23,0.54
2023-11-24,0.57
2023-11-27,0.57
2023-11-28,0.532
2023-11-29,0.58
2023-11-30,0.57
2023-12-01,0.57
2023-12-06,0.54
2023-12-07,0.54
2023-12-08,0.53
2023-12-11,0.54
2023-12-12,0.52
2023-12-13,0.54
2023-12-14,0.57
2023-12-18,0.512
2023-12-19,0.54
2023-12-20,0.566
2023-12-21,0.54
2023-12-22,0.55
2023-12-27,0.55
2023-12-28,0.55
2023-12-29,0.54
2024-01-02,0.59
2024-01-03,0.57
2024-01-04,0.57
2024-01-05,0.57
2024-01-08,0.66
2024-01-09,0.676
2024-01-10,0.608
2024-01-11,0.646
2024-01-12,0.608
2024-01-15,0.628
2024-01-16,0.604
2024-01-17,0.608
2024-01-18,0.616
2024-01-19,0.614
2024-01-22,0.616
2024-01-23,0.618
2024-01-24,0.614
2024-01-25,0.62
2024-01-26,0.6
2024-01-29,0.62
2024-01-30,0.608
2024-01-31,0.608
2024-02-01,0.638
2024-02-02,0.64
2024-02-05,0.648
2024-02-06,0.65
2024-02-07,0.682
2024-02-08,0.644
2024-02-09,0.65
2024-02-12,0.65
2024-02-13,0.668
2024-02-14,0.668
2024-02-15,0.67
2024-02-16,0.706
2024-02-19,0.77
2024-02-20,0.7
2024-02-21,0.692
2024-02-22,0.764
2024-02-23,0.764
2024-02-26,0.728
2024-02-27,0.7
2024-02-28,0.7
2024-02-29,0.72
2024-03-01,0.75
2024-03-04,0.73
2024-03-05,0.73
2024-03-06,0.716
2024-03-07,0.706
2024-03-08,0.73
2024-03-11,0.73
2024-03-12,0.728
2024-03-13,0.78
2024-03-14,0.77
2024-03-15,0.77
2024-03-18,0.78
2024-03-19,0.776
2024-03-20,0.778
2024-03-21,0.64
2024-03-22,0.63
2024-03-25,0.6
2024-03-26,0.596
2024-03-27,0.612
2024-03-28,0.616
2024-04-02,0.555
2024-04-03,0.57
2024-04-04,0.565
2024-04-05,0.565
2024-04-08,0.57
2024-04-09,0.57
2024-04-10,0.565
2024-04-11,0.565
2024-04-12,0.575
2024-04-15,0.6
2024-04-16,0.585
2024-04-18,0.55
2024-04-19,0.57
2024-04-22,0.57
2024-04-24,0.545
2024-04-25,0.565
2024-04-26,0.615
2024-04-29,0.61
2024-05-06,0.565
2024-05-07,0.6
2024-05-08,0.56
2024-05-09,0.59
2024-05-10,0.525
2024-05-13,0.555
2024-05-14,0.58
2024-05-15,0.565
2024-05-16,0.58
2024-05-17,0.565
2024-05-20,0.55
2024-05-21,0.55
2024-05-22,0.545
2024-05-24,0.54
2024-05-27,0.535
2024-05-28,0.52
2024-05-29,0.53
2024-05-31,0.545
2024-06-03,0.53
2024-06-04,0.585
2024-06-05,0.59
2024-06-06,0.59
2024-06-07,0.57
2024-06-10,0.565
2024-06-11,0.53
2024-06-12,0.53
2024-06-13,0.53
2024-06-17,0.53
2024-06-18,0.525
2024-06-19,0.51
2024-06-20,0.515
2024-06-21,0.55
2024-06-24,0.56
2024-06-25,0.525
2024-06-26,0.525
2024-06-27,0.55
